3997,"Talk Number"
784,"310","不好，让他跑了。兄弟，你*照顾一下明教的几位首脑，*我去追那成昆。"
785,"311","这里交给我，你去追成昆吧*。"
786,"312","我叫小昭，是这里的丫鬟。"
787,"313","有没有看见一个和尚跑过来*？"
788,"314","那个凶僧，跑进地道里去了*。"
789,"315","好，追！"
790,"316","莫非这二人竟是阳顶天夫妇*？这里有封信，看看写些什*麽："
791,"317","今余神功第四层初成，*即悉成崑之事，*血气翻涌不克自制，*真力将散，行当大归。*天也命也，复何如耶？**今余命在旦夕，*有负衣教主重托，*实为本教罪人。*盼夫人持余亲笔遗书，*召聚众人，令谢逊暂摄副教*主之位，处份本教重务。。"
792,"318","原来阳教主是在练功时，*因知悉成崑的事後，*不慎走火入魔了。*而阳教主夫人。。。。*这里有把匕首，*看来是因愧疚而自杀了。*这个羊皮卷，大概就是他*当时在练的""神功""吧。"
793,"319","看我的，乾坤大挪移——！"
794,"31A","魔教已然一败涂地，再不投*降，还待怎的？空闻大师，*咱们这便去毁了魔教三十三*代教主的牌位吧！"
795,"31B","什麽投不投降？*魔教之众，*今日不能留下任何活口。*除恶务尽，*否则他日死灰复燃，*又将为害江湖。*魔崽子们！*识时务的快快自我了断，*省得大爷们动手。"
796,"31C","华山派和崆峒派各位，*请将顶上的魔教余孽一概诛*灭了。*武当派从西往东搜索，峨嵋*派从东往西搜索，别让魔教*有一人漏网。*崑仑派预备火种，焚烧魔教*巢穴。**少林弟子各取法器，诵念往*生经文，替六派殉难英雄，*魔教教众超渡，化除冤孽。"
797,"31D","哇！这里这麽多人，干什麽*这麽热闹，可少不了小侠我*。我说名门正派又怎麽样，*还不是一样赶尽杀绝，跟魔*教又有什麽两样，只不过藉*口好听一点罢了。"
798,"31E","少侠非魔教人士，*还请速速离去，*以免受池鱼之殃。"
799,"31F","那好，大家都别打了，因为*这中间着实有许多误会，*让我好好说给你们听。"
800,"320","现在年轻人都这麽狂妄吗？*你自以为是武林盟主吗！*要我们听你说。"
801,"321","你这小贼，跟魔教勾结，*想要拖延时间，好施什麽诡*计麽？先杀了你再说。"
802,"322","我就知道要你们安安静静听*我说是不太可能，那只有想*办法让你们服气了。*哪一派先来？"
803,"323","好狂妄的口气，我昆仑派就*来领教阁下高招！"
804,"324","看我华山派的。"
805,"325","让你尝尝我崆峒七伤拳的厉*害"
806,"326","少侠武功盖世，老衲前来领*教一二。"
807,"327","小子，你以为你是武林盟主*吗？就算你有屠龙刀在手，*还要问问我手上的倚天剑答*不答应！"
808,"328","现在就看武当派的了。"
809,"329","这个……"
810,"32A","大师伯，你们别打了。"
811,"32B","你，你，你是无忌！你是我*五弟的儿子张无忌！"
812,"32C","大师伯，是我，太师父他老*人家还好吧？"
813,"32D","好，好，孩子，你身上的寒*毒好了吗？"
814,"32E","谢谢大师伯挂怀，我想已经*好了吧。大师伯，六大派和*明教，这其中确有不少误会*，你们不要再打了。"
815,"32F","什么误会？"
816,"330","就让这位少侠来说吧。"
817,"331","事情的经过是这样的。。。*如此如此。。。。。。。。*这般这般。。。。。。。。*总之，一切的阴谋，*都是成崑那奸贼所计划的。**所以我说呢，你们两方还是*握手言和吧，反正明教杀过*六大派的人，六大派也杀过*明教的人，大家半斤八两，*差不了多少，就都罢手吧。"
818,"332","话都是你在说的，*是不是真的，*我们怎麽知道。"
819,"333","武当派既认亲，看来这次六*大派围攻光明顶是一败涂地*了，我们走！"
820,"334","阿弥陀佛。"
821,"335","哼！技不如人，*说这麽多做什麽，*走吧！"
822,"336","无忌，还有这位少侠，今日*你们救了明教，今后要多所*规劝引导，总要使明教改邪*归正，少做坏事。*我们走吧。"
823,"337","你们两个小子，还不赖嘛！"
824,"338","蝠王，不可无礼。明教全教*下上，叩谢少侠和张公子护*教救命的大恩！"
825,"339","快别这麽说，仗义行侠，本*就是我辈中人应当做的。"
826,"33A","你们也别这麽客套了。这样*吧，大家听我一言，我说呢*，这位少侠武功盖世义薄云*天，於本教有存亡续绝的大*恩。咱们拥立他为本教第三*十四任教主。由他来做教主*，总比你来做教主好吧，杨*左使，你说对不对啊。"
827,"33B","是啊！*这位少侠来做我们教主，*也比你韦一笑来做好的多。"
828,"33C","你。。。。"
829,"33D","你们两个别在那里吵了，丢*人现眼的。"
830,"33E","不，不，我仍有要事在身，*这个教主是无论如何不能当*的。*＜南贤老头说我有什么天命*在身，听起来比这个教主可*威风多了。＞"
831,"33F","少侠如果一直推却不肯，我*们明教恐怕又要为此争闹不*休，四分五裂，到时又会被*其他门派围攻，导致灭亡了*。"
832,"340","我这里有封阳教主的遗书，*上面提到要谢逊谢法王暂代*教主之职。"
833,"341","可是谢法王至今杳无音信，*明教却不可一日无主啊。"
834,"342","我义父应该在冰火岛，咱们*去找他吧。"
835,"343","我倒有个主意。这位张公子*，今日也可算是明教的恩人*。他是鹰王的外孙，可算是*明教自己人。他还是狮王的*义子，就算狮王做了教主，*子继父业也是理所当然。而*且张公子似乎另有奇遇，武*功卓绝，这个明教教主，再*合适不过了。"
836,"344","少侠此言有理，我韦一笑第*一个赞成！"
837,"345","我，我，我不行的……"
838,"346","我赞成！"
839,"347","我也赞成！"
840,"348","无忌，你就不要推辞了，难*道你连外公的话都不听吗？"
841,"349","我……好吧……"
842,"34A","明教光明左使杨逍"
843,"34B","光明右使范遥"
844,"34C","白眉鹰王殷天正"
845,"34D","青翼蝠王韦一笑"
846,"34E","明教众人：*        参见教主！"
847,"34F","使不得，使不得，你们快起*来……"
848,"350","另外还有一件事拜托你们，*你们明教中是否有一本叫*《倚天屠龙记》的书？*是否能借我一下。"
849,"351","有的。这是我明教镇教之宝*，历来由专人掌管。"
850,"352","是吗？真的有。皇天不负苦*心人，打了这麽多场仗，终*於让我找到了。不知是哪位*掌管此书？"
851,"353","金毛狮王谢逊！"
852,"354","张公子，你知道你义父所在*吧，咱们去找他吧。"
853,"355","好啊，我一直想把义父接回*来。"
854,"356","可是，现在明教大敌刚去，*有许多事情需要教主安排，*教主你不能轻离光明顶啊。"
855,"357","杨左使此言有理。那就拜托*少侠去找寻我义父吧，他就*在极北的冰火岛。"
856,"358","好，那我这就去寻找谢法王*。各位，告辞了。"
857,"359","少侠慢走。"
858,"35A","我来帮你！"
859,"35B","少侠对我明教的大恩大德，*明教全体教众没齿难忘。"
860,"35C","找到我义父了吗？"
861,"35D","小兄弟，*你的功夫真的很不错。"
862,"35E","少侠别担心，谢法王应该知*道该书的下落。"
863,"35F","好冷，好冷，我想吸血……"
864,"360","唉，韦四弟练功不慎，现在*每日都要受体内寒气的煎熬*……听说有一种火蟾，可治*此病，却不知去哪里找……"
865,"361","韦蝠王，快将这火蟾服下，*应该可以治你的病。"
866,"362","多谢少侠，韦一笑完全好了*，吸血蝙蝠再也不用吸人血*了，太好了，哈哈哈，少侠*，这是我的生平绝学寒冰绵*掌，就赠与少侠，聊表谢意*。"
867,"363","多谢少侠。吸血蝙蝠再也不*用吸人血了，太好了，哈哈*哈。"
868,"364","少侠为我明教付出这么多，*我这本鹰爪功的秘笈，少侠*也拿去吧。"
869,"365","多谢少侠为我明教付出这么*多。"
870,"366","这里有一撮金毛，应该是金*毛狮王谢逊的吧，可是谢法*王怎么不见了。"
871,"367","这，这就是我义父的头发。*他人呢？"
872,"368","我到了冰火岛，只发现这撮*头发，却不见谢法王的人影*。"
873,"369","我义父会到哪里去？会到哪*里去？一定是仇家把他害了*……"
874,"36A","我看不会，冰火岛地处偏远*，你要不告诉我，我也很难*找到。而且岛上并没有打斗*的痕迹，我看多半是谢法王*自己离开了。"
875,"36B","我义父双目失明，是不会一*个人走的。"
876,"36C","那说不定是一个值得他信任*的人带他走的。"
877,"36D","他在外面几乎全是仇家，哪*有什么朋友？他是本教的护*教狮王，要说朋友，也就是*我们几个。"
878,"36E","可是我们几个都在光明顶啊*。"
879,"36F","除非是紫杉老妹子。"
880,"370","紫杉龙王？她在哪里？"
881,"371","……她……早已不知去向…*…"
882,"372","不行，我要去找我义父。杨*左使，外公，现在明教大事*已安排的差不多了，就请几*位留守光明顶，我要随这位*少侠去寻找义父。"
883,"373","也好，不找回谢法王，教主*留在光明顶也不会安心。"
884,"374","无忌，你去吧，这里就交给*我们了。"
885,"375","……顺便……找一下紫杉龙*王……"
886,"376","谢三哥，你还信不过紫杉老*妹子么？"
887,"377","我说过了，除非见到我那无*忌孩儿，否则我是不会把屠*龙刀借给你的。"
888,"378","＜义父，怎么在这里？那金*花婆婆就是紫杉龙王？＞"
889,"379","＜张公子，我们进去相认吧＞"
890,"37A","明教圣火令到，护教龙王、*狮王，还不下跪迎接，更待*何时。"
891,"37B","＜圣火令？我教圣火令已经*遗失多年，这来的是什么人*？＞"
892,"37C","本人早已破门出教，'护教*龙王'四字，再也休提。阁*下尊姓大名？这圣火令是真*是假，从何处得来？"
893,"37D","明教源于何土？"
894,"37E","源起波斯。"
895,"37F","然也，然也！我乃波斯明教*总教流云使，另外两位是妙*风使、辉月使。我等奉总教*主之命，特从波斯来至中土*。"
896,"380","中土明教虽然出自波斯，但*数百年来独立成派，自来不*受波斯总教管辖。"
897,"381","这是中土明教的圣火令，前*任姓石的教主不肖，失落在*外，今由我等取回。自来见*圣火令如见教主。"
898,"382","我已说过，本人早已破门出*教，这圣火令与我何干？"
899,"383","本教教规，入教之后终身不*能叛教。你自称破门出教，*为本教叛徒，需留你不得。"
900,"384","啊！"
901,"385","＜这三人一招之间就抓住了*紫杉龙王，功夫着实了得！*＞"
902,"386","快救救我妈妈！"
903,"387","大胆胡人，还不快放人。"
904,"388","多谢少侠出手相助。"
905,"389","狮王不必客气。"
906,"38A","老婆子多谢啦。"
907,"38B","龙王不必客气。这三个家伙*的武功真是怪异。咦？这是*什么？"
908,"38C","这就是圣火令。"
909,"38D","这上面好像有字？"
910,"38E","我来看看。哦，这是波斯文*字，我给你译出来。"
911,"38F","却不知这些人为何要为难婆*婆？"
912,"390","说来话长。我本是波斯明教*的圣女。"
913,"391","啊？"
914,"392","我来到中原，加入明教，本*是寻找乾坤大挪移心法的。*没想到对银叶先生动了真情*，结为夫妻，这是犯了波斯*明教的大忌，按照教规理应*处死。我这么多年隐姓埋名*，没想到还是被找到了。"
915,"393","原来如此啊。"
916,"394","看，又来了好多人。"
917,"395","此地不宜久留，我们还是赶*回光明顶吧。"
918,"396","我还要找我的无忌孩儿。"
919,"397","义父……孩儿无忌不孝，没*能早日前来迎接，累义父受*尽辛苦。"
920,"398","你，你说什么？"
921,"399","""拳学之道在凝神，意在力*先方致胜……"""
922,"39A","你，你当真便是我那无忌孩*儿？"
923,"39B","义父……"
924,"39C","老天爷开眼，老天爷开眼！"
925,"39D","恭喜你们父子团圆。"
926,"39E","我曾经说过，谁能把无忌孩*儿给我带来，我就把屠龙刀*送给谁，现在，这把武林至*尊的屠龙宝刀就送给少侠吧*。"
927,"39F","老爷子，我和你说了吧，你*这位义子，乃是堂堂的明教*教主，你反倒是他的属下。"
928,"3A0","这，此话当真？"
929,"3A1","事情是这样的……"
930,"3A2","属下金毛狮王谢逊参见教主*。"
931,"3A3","义父不必多礼。那些波斯人*不久就会攻来，此地不宜久*留，我们一起回光明顶吧。"
932,"3A4","一切听教主安排。韩夫人，*你也和我们一起回光明顶吧*。"
933,"3A5","我已经破门出教……"
934,"3A6","当年之事，你至今还耿耿于*怀么？我明教这些年四分五*裂，现在好不容易有了新教*主，大家该当齐心协力。波*斯明教肯定还会来找你麻烦*，不如我们一起回光明顶吧*。"
935,"3A7","光明顶上，还容得下我吗？"
936,"3A8","明教四王，紫白金青。自然*一个也不能少。光明顶上的*兄弟们，都很惦记你啊。一*起回去吧。"
937,"3A9","这，好吧，此地确实不宜久*留，既然教主有命，属下紫*杉龙王自当遵从。"
938,"3AA","妈妈，我……想跟着教主…*…"
939,"3AB","哈哈，好，女大不由娘，你*就跟着教主和这位少侠吧。*谢三哥，我们回光明顶。"
940,"3AC","好，我们走。"
941,"3AD","谢法王，我还想向你打听一*下《倚天屠龙记》一书。"
942,"3AE","此书就在我身上。"
943,"3AF","太好了，能否借我一下？"
944,"3B0","少侠对我明教有大恩，按说*谢逊不应拒绝。但是此书乃*我明教镇教之宝，不可轻与*外人。"
945,"3B1","那谢法王怎样才肯借出此书*呢？"
946,"3B2","我明教现在还有一心腹大患*……"
947,"3B3","你是说那恶僧成昆？"
948,"3B4","不错，这成昆害我全家，更*处心积虑害我明教，只要少*侠把他的人头带来，我就将*此书赠与少侠。"
949,"3B5","好，一言为定。"
950,"3B6","没想到我还会回到光明顶上*来……"
951,"3B7","好啊！成崑，*原来你躲在这里，**怎麽，几个坏蛋聚在这里，*是不是又在一起商量什麽*坏勾当？"
952,"3B8","哼！*上次的事全被你坏了，*我这次饶不了你。"
953,"3B9","今天真是大快人心，*替武林除了一个大害。"
954,"3BA","谢前辈，*这是成崑的项上人头。*成崑作恶多端已遭天谴。"
955,"3BB","是吗？哈！哈！*成崑啊，成崑！*你作恶多端终遭天谴，*但，可惜啊，可惜！*我不能亲手杀了你。"
956,"3BC","成崑一事已了，谢法王能否……？"
957,"3BD","少侠为我明教付出许多，谢*某感激不尽。如今成崑已死*，这本《倚天屠龙记》你就*拿去吧。"
958,"3BE","只要少侠把成昆的人头带来*，我就将此书赠与少侠。"
959,"3BF","少侠为我明教付出许多，谢*某感激不尽。"
960,"3C0","哇——这是什么怪物！！"
961,"3C1","如今你们明教众高手已经中*了我的暗算，我今日不杀你*们，明日你们就眼看着明教*的覆灭吧，哈哈哈……"
962,"3C2","这成昆真是处心积虑啊。他*好像往里边走了，我去找找*……。"
963,"3C3","不知道这成昆跑哪去了，应*该离此不远吧，我好好找找*。"
964,"3C4","成昆，原来你在这里"
965,"3C5","你是什么人？"
966,"3C6","我在光明顶听到了你的谈话*，对阁下的深谋远虑深感佩*服。"
967,"3C7","你都知道了？知道了也晚了*，现在没人能救得了明教了*！"
968,"3C8","明教的生死与我无关，我只*想找天书。"
969,"3C9","你要找十四天书？你想做武*林盟主？好小子，这样的话*，我们可以合作。"
970,"3CA","怎么合作？"
971,"3CB","明教现在还有些人不在光明*顶。当他们知道明教覆灭得*消息之后，一定会找六大派*寻仇。你可以从中帮帮忙。*六大派灭了明教，明教再灭*了六大派，这样中原武林就*是你我的天下了，到时还愁*找不到几本书？"
972,"3CC","哈哈哈，果然够狠。不过我*武艺低微，如何能帮助明教*灭了六大派？"
973,"3CD","这是我研究多年得幻阴指法*，阴毒无比，传授给你吧。"
974,"3CE","明教和六大派怎么样了？"
975,"3CF","怎么会这样！怎么会这样！"
976,"3D0","你是……？"
977,"3D1","这位少侠，你可知道，我明*教为何会变成这样？"
978,"3D2","这是六大派……"
979,"3D3","我得到信息，就马上赶来，*没想到还是完了一步。"
980,"3D4","我乃明教光明右使范遥。这*位少侠，你可否帮我一个忙*？"
981,"3D5","当然可以，前辈请讲。"
982,"3D6","我明教还有紫杉龙王和金毛*狮王两位，能否麻烦小兄弟*去把他们请来。"
983,"3D7","他们在哪里啊？"
984,"3D8","这……我也不太清楚，咱们*分头找找吧。"
985,"3D9","找到龙王和狮王了吗？"
986,"3DA","＜原来这两位就是明教的紫*杉龙王和金毛狮王啊……不*知道来的是什么人……＞"
987,"3DB","这次十二宝树王一起来中原*，看来是原教主去世，来寻*我做新教主了。可是我已不*是处女之身，这……小昭…*…"
988,"3DC","难道……"
989,"3DD","是的，只有让小昭做教主了*。这是我明教内部之事，少*侠不必过问，这也是现在唯*一的办法了。"
990,"3DE","公子，再见了……"
991,"3DF","韩夫人你……"
992,"3E0","谢三哥，再见了……"
993,"3E1","谢法王，我到处找你。"
994,"3E2","找我？什么事？难道是为了*屠龙宝刀？"
995,"3E3","不是的，明教出事了。"
996,"3E4","快说，我们明教的兄弟怎么*了？"
997,"3E5","我，马上就回光明顶！"
998,"3E6","范遥，你干什么去了？光明*顶怎么会变成这个样子？"
999,"3E7","你还说我！要不是你到处惹*是生非，咱明教也不会和六*大派结下这么大的仇！"
1000,"3E8","我，唉，我真是愧对明教啊*，我只有以死谢罪啦！"
1001,"3E9","狮王不可！眼下大仇未报，*不可呀！"
1002,"3EA","是啊，范右使所言极是，狮*王！"
1003,"3EB","又是你！你说吧，你助我明*教，有什么企图？"
1004,"3EC","这个嘛，我要找一本书，名*叫《倚天屠龙记》。"
1005,"3ED","此书乃我明教历代相传，不*可轻与外人。"
1006,"3EE","如今明教都已不复存在，何*言外人？"
1007,"3EF","这……"
1008,"3F0","好，小子，只要你帮我明教*复仇，这本书就送给你！"
1009,"3F1","好，一言为定。"
1010,"3F2","剿灭六大派，就从最近的昆*仑派开始吧，我二人先去，*你尽快赶到。"
1011,"3F3","没想到明教还留下你们两个*余孽"
1012,"3F4","废话少说，血债血偿"
1013,"3F5","就凭你们二人之力，就想灭*我昆仑不成？"
1014,"3F6","还有我！"
1015,"3F7","我们上！"
1016,"3F8","好小子，你果然守约。"
1017,"3F9","昆仑已灭，下一个，崆峒！"
1018,"3FA","明教余孽，受死吧"
1019,"3FB","崆峒派莫要惊惶，华山派得*到信息，前来增援"
1020,"3FC","来得好，省得我们到处跑了*！"
1021,"3FD","魔教休得猖狂，峨嵋派前来*支援"
1022,"3FE","老贼尼，赶来送死，我们就*成全你！"
1023,"3FF","哈哈哈，如今四派已灭，就*剩下少林和武当了。先诛少*林，再灭武当，唯我明教，*武林称王！哈哈哈……"
1024,"400","咦？今天少林寺怎么这么大*阵势？难道是专门迎接我的*吗？"
1025,"401","施主远道而来，不知有何见*教？"
1026,"402","我……随便看看……*＜嘿嘿*，老和尚想不到吧，我是来*替明教报仇的，想把少林寺*夷为平地……＞"
1027,"403","据老衲所知，施主此来是要*为明教报仇，想把少林寺夷*为平地。"
1028,"404","你——！*＜谢法王和范右使怎么还没*到，要坏……＞"
1029,"405","明教已然覆灭，阁下何必再*添杀戮。"
1030,"406","谁说明教覆灭了，金毛狮王*谢逊和光明右使范遥还都在*呢。"
1031,"407","他二人已然皈依我佛。"
1032,"408","什么？不可能！老和尚，我*要见他二人！"
1033,"409","少林寺乃佛门圣地，施主不*要再打了，阿弥陀佛，我这*就带施主去见他二人"
1034,"40A","无我相、无人相、无众生相*、无寿者相……"
1035,"40B","谢法王，真的是你？"
1036,"40C","弟子罪孽深重，盼方丈收留*，赐予剃度。"
1037,"40D","啊？"
1038,"40E","老僧收你为徒。"
1039,"40F","弟子不敢望此福缘。"
1040,"410","空固是空，圆亦是空，我相*人相，好不懵懂！"
1041,"411","师父是空，弟子是空，无罪*无业，无德无功！"
1042,"412","善哉，善哉！你归我门下，*仍是叫作谢逊，你懂了么？"
1043,"413","弟子懂得。牛屎谢逊，皆是*虚影，身既无物，何况于名*？"
1044,"414","＜糟糕糟糕，看来成昆老贼*的计划要泡汤，我得赶紧另*想出路……＞**谢法王，这，那，我要的*《倚天屠龙记》一书怎么办*啊？"
1045,"415","小兄弟，我们俩受少林高僧*点化，已知我明教真正的仇*人其实是成昆，只要你帮我*们除掉成昆，这本倚天屠龙*记就送给你。"
1046,"416","师父恕罪，弟子也有此念。"
1047,"417","杀恶人即使善念，那成昆为*祸武林……阿弥陀佛……"
1048,"418","好，一言为定，我这就去找*成昆。"
1049,"419","阿弥陀佛，善哉善哉。"
1050,"41A","明教和六大派怎么样了？"
1051,"41B","明教灭了，六大派也灭了四*个了。"
1052,"41C","哈哈，我果然没看错人，小*子，你干的真不错。"
1053,"41D","接下来还得需要你的帮忙啊*。我今天来，是想向你借一*样东西。"
1054,"41E","什么？"
1055,"41F","借你的项上人头一用。"
1056,"420","你，你说什么……我们不是*一伙的么？"
1057,"421","我只要天书，谁给我天书，*我就跟谁一伙，受死吧。"
1058,"422","阿弥陀佛，这恶贼成昆终于*伏法。"
1059,"423","范右使和谢法王呢？我是来*换书的。"
1060,"424","范遥已退隐江湖，不问世事*。谢逊已在少林出家，不见*外人。"
1061,"425","那我的书怎么办啊？"
1062,"426","范右使临行之前，将倚天屠*龙记一书交与老衲，如今成*昆终于伏法，此书就送与少*侠吧。"
1063,"427","望少侠今后少生杀戮，多行*善事，阿弥陀佛，善哉善哉*。"
1064,"428","她就要来了，怎么办？"
1065,"429","我们还是躲起来吧。"
1066,"42A","往哪躲呢？"
1067,"42B","二位前辈，不知何事惊惶，*晚辈能否帮得上忙？"
1068,"42C","我们有个极厉害的对头，要*来寻仇，怎么办……"
1069,"42D","胡青牛，看你今天往哪跑！"
1070,"42E","不好，她来了，老婆子，我*们只有等死了。"
1071,"42F","老头子……"
1072,"430","两位前辈莫慌，我来会会她*。"
1073,"431","哼，改日再来取你狗命！"
1074,"432","多谢少侠相救之恩。"
1075,"433","这个人是谁啊？"
1076,"434","她，其实就是我们明教的紫*杉龙王，现在隐居在灵蛇岛*。"
1077,"435","只因多年前，我拒绝为她丈*夫看病，导致她丈夫惨死。*如今，她是来寻仇了。"
1078,"436","哦，原来她就是紫杉龙王啊*。我看她这一去，恐怕还要*回来，二位前辈不知有何打*算？"
1079,"437","老婆子，你说怎么办？"
1080,"438","我怎么知道？要是有个能避*难的地方就好了……"
1081,"439","这样吧，如果二位不嫌弃，*不妨去小村。那里是南贤北*丑的住地，我想金花婆婆应*该不会去那里杀人的。"
1082,"43A","那真是太好了，老婆子，咱*们这就动身吧。"
1083,"43B","多谢少侠。我外子略通医术*，我则略通毒术，如果少侠*有用得到我夫妇的地方，尽*管开口，我们这就去小村啦*。"
1084,"43C","青书，我武当派是名门正派*，你怎能在此偷窥峨嵋派的*卧房？快跟我回去，向太师*父和你父亲请罪。"
1085,"43D","七叔，你饶了我吧。我再也*不敢了。如果回去见了我爹*，他非打死我不可。我不能*回去，我不能回去……"
1086,"43E","这位公子恐怕是爱上了峨嵋*派的某位佳人，这也是人之*常情嘛，莫七侠何必苦苦相*逼？"
1087,"43F","这是我武当派自己的事，不*需旁人插手。"
1088,"440","我不回去，我不回去，少侠*救我啊……"
1089,"441","听到了吧，是他让我救他，*我也不得不管了。"
1090,"442","……啊……青书，你……居*然偷袭我……"
1091,"443","七叔，我……"
1092,"444","宋少侠，你亲手杀了你七叔*，这可是欺师灭祖的大罪啊*。"
1093,"445","我不能再回武当了，不能再*回了，我该去哪？"
1094,"446","跟着我吧，只要你好好帮我*，我就不会把这件事情说出*去的。"
1095,"447","……好吧。"
1096,"448","＜宋青书这小子倒是可以利*用，我是不是应该帮他一下*？＞"
1097,"449","我不能回武当，不能回武当*……"
1098,"44A","别跑……臭小子，给我站住*！"
1099,"44B","前辈就是张三丰太师父吗，*晚辈叩见。"
1100,"44C","正是老朽。"
1101,"44D","晚辈实在荣幸万分，能见到*当今武林的泰山北斗。"
1102,"44E","那里，那里。小兄弟太夸奖*老朽了。据我所知，小兄弟*你是在寻找十四天书吧？"
1103,"44F","前辈也知道""十四天书""？"
1104,"450","我与南贤是老交情了，你的*事情我大概知道一些。"
1105,"451","不知前辈是否知道这些书的*下落？"
1106,"452","老朽淡出江湖已久，所以并*不太清楚这些书的下落。"
1107,"453","这样啊，那我还是到别处再*问问吧。"
1108,"454","你在江湖闯荡的过程中，若*能维持侠义的心，老朽倒是*愿意跟你切磋切磋武学。看*看能不能对你有些帮助。"
1109,"455","真的吗？*能得到前辈的指点，*晚辈将一生受用无穷。"
1110,"456","记着一件事，习武之人要常*保有一副侠义心肠。"
1111,"457","太师父，太师父，*无忌回来看你了。"
1112,"458","无忌，真的是你。好孩子，*你没有死，翠山可有後了。*是蝶谷医仙将你医好的吗？"
1113,"459","不是的。我是有了一番奇遇*。。。。如此如此。。。。*这般这般。。。*後来修习了九阳神功，*才将我身上的寒毒化去。"
1114,"45A","很好，很好，真难为你了。*现在你已经做了明教的教主*，记得要约束教众，不可为*非作歹。*记得常存侠义之心，*才是我辈中人。"
1115,"45B","太师父教诲，无忌谨记在心*。。。。"
1116,"45C","呵呵呵，翠山有后了，翠山*有后了……"
1117,"45D","小兄弟想要与老朽切磋武学*的奥妙吗？"
1118,"45E","还望前辈指导。"
1119,"45F","小兄弟，看来你还需再下一*番努力才是。"
1120,"460","小兄弟资质不错，这是我最*近研究出的一套拳法，名为*太极拳。你拿去好好参详吧*我这套太极拳，和自来武学*之道全然不同，讲究以静制*动，後发制人。。。。"
1121,"461","少侠武功已到如此境界，*老朽也没什麽好教你的了。"
1122,"462","小兄弟资质不错，这是我武*当派的内功心法，你就拿去*吧。"
1123,"463","小兄弟资质不错，功力又增*进不少，不错，不错。**这是我最近研究出的一套剑*法，你拿去好好参详吧。**记住，要领悟剑的""剑意""*而非""剑招""。"
1124,"464","这是当年我传授你爹的一套*武功，如今就传给你吧。"
1125,"465","多谢太师父"
1126,"466","可恶的袁承志，居然用安小*慧的发钗，不理他了，哼…*…我也找个人在一起，气气*他……喂，小子！"
1127,"467","姑娘是在叫我么？"
1128,"468","当然是叫你！这还有别人么*？"
1129,"469","不知姑娘有何差遣？"
1130,"46A","你，陪我去华山。"
1131,"46B","＜好凶的姑娘……＞"
1132,"46C","好，在下愿陪姑娘走一遭。"
1133,"46D","你的队伍居然没空位了？我*去小村等你！"
1134,"46E","对不起，在下还有别的事。"
1135,"46F","喂，你到底陪不陪我去华山*！"
1136,"470","姑娘是想去华山游玩吗？"
1137,"471","让你去你就去，问那么多干*吗？"
1138,"472","听袁大哥说，我爹的尸骨就*在华山附近的一个山洞里，*我现在要把我娘的骨灰带去*和我爹合葬……"
1139,"473","这……这一定就是我爹的尸*骨了……爹，我把娘的骨灰*带来了，娘说要和你合葬在*一起，我这就帮你们完成心*愿。"
1140,"474","姑娘请节哀，我来帮你。"
1141,"475","*    金蛇郎君夏雪宜*    爱妻温仪*    之墓"
1142,"476","从墙上的字来看，这位金蛇*郎君夏前辈真是一位了不起*的高人啊。"
1143,"477","那是，我爹爹自然了不起。"
1144,"478","这就是金蛇剑吧，插的好深*……"
1145,"479","对了，袁大哥提到过这把金*蛇剑，你帮我把它拔下来，*我们去还给袁大哥。"
1146,"47A","唉，看来我的功力还不够啊*。"
1147,"47B","终於让我给拔出来了！"
1148,"47C","好，我们走吧，去找袁大哥*。"
1149,"47D","这是温姑娘爹爹的遗物，温*姑娘想要这把剑……"
1150,"47E","你，帮我把这柄剑拔出来！"
1151,"47F","爹、娘，你们终于可以在一*起了……"
1152,"480","这是金蛇郎君夏雪宜前辈及*爱妻温仪之墓"
1153,"481","夏雪宜这个负心郎……"
1154,"482","你是谁？为什么说我爹爹的*坏话！"
1155,"483","你……你是温仪这个贱人的*孽种……"
1156,"484","你这老乞婆，居然敢骂我妈*妈，吃我一剑"
1157,"485","雪宜……我来找你了……"
1158,"486","唉，其实她也蛮可怜的……"
1159,"487","恩恩，好好……"
1160,"488","到时候就……哈哈……"
1161,"489","好，就这么办，走！"
1162,"48A","这三个家伙鬼鬼祟祟，好像*有什么阴谋……"
1163,"48B","青青，你在哪里啊，你在哪*里？"
1164,"48C","青青，我终于找到你了……"
1165,"48D","哼，你找我干什么，你怎么*不去找你青梅竹马的小慧姑*娘！"
1166,"48E","她……她的心上人是她的崔*师哥，跟我有什么关系。"
1167,"48F","你为什么用她的发钗？难道*我就没有发钗么？"
1168,"490","＜她这简直是无理取闹……*唉，算了，我还是别说话了*……＞*……"
1169,"491","你怎么不说话？见了她就笑*逐颜开，见了我就闷闷不乐*！"
1170,"492","我……我哪有？**青青，这些日子，你上哪里*去了？"
1171,"493","＜唉，这位温大小姐真让人*受不了，这位袁兄今后可要*受苦啦，我还是不要在这当*灯泡了＞，二位既已重逢，*在下这就告辞了。"
1172,"494","你还知道关心我啊！*我去了华山，把我父母合葬*在一起……*对了，袁大哥，你说过我爹*的金蛇剑法一定要配合金蛇*剑才有威力，我就让他帮我*把剑拔下来了，那，给你。"
1173,"495","他？*哎呦，我们俩光顾着说话，*怠慢了兄台，还望见谅。多*谢兄台对……对她的照顾。"
